Well,Sample_ID
A4,C25C00908401
A5,C25C00907601
A6,C25C00874001
A7,C25C00874801
A8,C25C00875701
A9,C25C00876501
A10,C25C00877201
A11,C25C00878101
A12,C25C00878801
B4,C25C00908301
B5,C25C00907501
B6,C25C00874101
B7,C25C00874901
B8,C25C00875601
B9,C25C00876401
B10,C25C00877301
B11,C25C00878001
B12,C25C00878901
C4,C25C00908201
C5,C25C00907401
C6,C25C00874201
C7,C25C00875001
C8,C25C00875901
C9,C25C00876701
C10,C25C00877401
C11,C25C00878301
C12,C25C00879001
D4,C25C00908101
D5,C25C00907301
D6,C25C00874401
D7,C25C00875101
D8,C25C00875801
D9,C25C00876601
D10,C25C00877501
D11,C25C00878201
D12,C25C00879101
E4,C25C00908001
E5,C25C00907201
E6,C25C00874301
E7,C25C00875201
E8,C25C00876101
E9,C25C00876901
E10,C25C00877601
E11,C25C00878501
E12,C25C00879201
F4,C25C00907901
F5,C25C00907101
F6,C25C00874501
F7,C25C00875301
F8,C25C00876001
F9,C25C00876801
F10,C25C00877801
F11,C25C00878401
F12,C25C00879301
G4,C25C00907801
G5,C25C00906901
G6,C25C00874601
G7,C25C00875401
G8,C25C00876301
G9,C25C00877101
G10,C25C00877701
G11,C25C00878701
G12,C25C00879401
H4,C25C00907701
H5,C25C00906801
H6,C25C00874701
H7,C25C00875501
H8,C25C00876201
H9,C25C00877001
H10,C25C00877901
H11,C25C00878601
H12,C25C00879501
